"recordID","DatasetID","DatasetName","institutionID","Institution","collectionID","Collection","license","catalogNumber","TaxonConceptID","Scientific Name - original","vernacular name - original","scientificName","taxonRank","vernacularName","kingdom","phylum","Class","order","family","genus","Species","institutionCode","collectionCode","locality","Latitude - original","Longitude - original","geodetic datum - original","decimalLatitude","decimalLongitude","coordinateUncertaintyInMetres","country","stateProvince","minimumElevationInMeters","maximumElevationInMeters","minimumDepthIn meters","maximumDepthInMeters","individualCount","year","month","basisOfRecord","Basis Of Record - original","occurrenceStatus","sex","Taxonomic Quality","Location Quality","Event Date - parsed","country","identified _ by","Occurrence status assumed to be present","Coordinates are out of range for species","First of the month","First of the year","Geodetic datum assumed WGS84","Identification date before occurrence date","Incomplete collection date","Invalid collection date","Name not in national checklists","Collector name unparseable"
"a8c41977-ea67-428f-b5bc-160505b8b863","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_174","180548","Amerotyphlops reticulatus","","Amerotyphlops reticulatus","species","","Animalia","Chordata","Reptilia","Squamata","Typhlopidae","Amerotyphlops","Amerotyphlops reticulatus","FMT-HVD","ANIME","UHE Samuel","-8.75219","-63.4554","","-8.75219","-63.4554","","Brasil","Rondonia","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M. E. Oliveira","true","false","false","false","true","false","true","true","true","false"
"a848e0e8-bea0-4314-8408-66dc6e8f4bd3","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_143","212428","Erythrolamprus aesculapii","","Erythrolamprus aesculapii","species","","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Erythrolamprus","Erythrolamprus aesculapii","FMT-HVD","ANIME","UHE Balbina","-1.916804","-59.75789","","-1.916804","-59.75789","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","Herbet Lima","true","false","false","false","true","false","true","true","true","false"
"a5ae36a9-6ad3-449e-820f-354a0b6e66e1","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_115","152294","Bothrops atrox","","Bothrops atrox","species","","Animalia","Chordata","Reptilia","Squamata","Viperidae","Bothrops","Bothrops atrox","FMT-HVD","ANIME","UHE Balbina","-1.916804","-59.75789","","-1.916804","-59.75789","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M.E. Oliveira","true","false","false","false","true","false","true","true","true","false"
"9f1c957b-925f-4e84-b36b-c7e938ca82bd","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_275","212427","Oxyrhopus melanogenys","","Oxyrhopus melanogenys","species","","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Oxyrhopus","Oxyrhopus melanogenys","FMT-HVD","ANIME","UHE Pitinga","-8.56680","-59.05966","","-8.5668","-59.05966","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M. Martins","true","false","false","false","true","false","true","true","true","false"
"9f1790f5-45c6-414c-bd42-825c123721e0","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_193","182798","Anilius scytale","","Anilius scytale","species","","Animalia","Chordata","Reptilia","Squamata","Aniliidae","Anilius","Anilius scytale","FMT-HVD","ANIME","Porto das balsas da Petrobras","-3.14079","-60.0233","","-3.14079","-60.0233","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","Pedro Bisneto","true","false","false","false","true","false","true","true","true","false"
"9b9be420-cd71-4a61-a26f-c13eb1b2b0cc","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_147","122598","Xenodon severus","","Xenodon severus","species","","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","Xenodon","Xenodon severus","FMT-HVD","ANIME","UHE Cachoeira Porteira - Rio Trombetas - área de desmatamento","-1.429434","-56.87321","","-1.429434","-56.87321","","Brasil","Para","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M. T. Rodrigues","true","false","false","false","true","false","true","true","true","false"
"97938bdd-fb03-485f-a0b6-d19f82e059ec","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_19","183338","Crotalus durissus ruruima","","Crotalus durissus ruruima","subspecies","","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus","Crotalus durissus","FMT-HVD","ANIME","Fazenda Monte Cristo","2884485","-60.09672","","2884485.0","-60.09672","","","","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","false","","","M.E. Oliveira","true","true","false","false","true","false","true","true","true","false"
"95e299eb-0701-4610-a3a6-c4b322306310","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_120","152294","Bothrops atrox","","Bothrops atrox","species","","Animalia","Chordata","Reptilia","Squamata","Viperidae","Bothrops","Bothrops atrox","FMT-HVD","ANIME","UHE Balbina","-1.916804","-59.75789","","-1.916804","-59.75789","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","A.M. Picelli","true","false","false","false","true","false","true","true","true","false"
"9028be46-c376-4724-885a-eed6a3228697","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_139","246558","Micrurus lemniscatus","","Micrurus lemniscatus","species","","Animalia","Chordata","Reptilia","Squamata","Elapidae","Micrurus","Micrurus lemniscatus","FMT-HVD","ANIME","Jardim Espanha III","-3.096484","-60.22651","","-3.096484","-60.22651","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","Pedro Bisneto","true","false","false","false","true","false","true","true","true","false"
"8aa0f915-ca12-4fe9-a4ae-cc2561d0bc45","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_494","246558","Micrurus lemniscatus","","Micrurus lemniscatus","species","","Animalia","Chordata","Reptilia","Squamata","Elapidae","Micrurus","Micrurus lemniscatus","FMT-HVD","ANIME","Rio Tefé - Campo Petrolífero da Petrobrás Leoc. São Marcus","-3.459229","-64.12856","","-3.459229","-64.12856","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","P. F. Bührmheim","true","false","false","false","true","false","true","true","true","false"
"838db7b1-79cd-4f73-83cf-4e07f8821c63","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_351","122777","Chlorosoma viridissimum","","Dipsadidae","family","","Animalia","Chordata","Reptilia","Squamata","Dipsadidae","","","FMT-HVD","ANIME","UHE Pitinga","-8.36099","-59.07871","","-8.36099","-59.07871","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M. Martins; M.E. Oliveira","true","false","false","false","true","false","true","true","true","false"
"7dde804f-3f78-48f8-a8c8-c7192c92d15b","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_107","246558","Micrurus lemniscatus","","Micrurus lemniscatus","species","","Animalia","Chordata","Reptilia","Squamata","Elapidae","Micrurus","Micrurus lemniscatus","FMT-HVD","ANIME","Conjunto Dom Bosco","-3.082614","-60.54083","","-3.082614","-60.54083","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","Pedro Bisneto","true","false","false","false","true","false","true","true","true","false"
"78fa88cc-8394-4d12-9180-9aae544603f4","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_464","183338","Crotalus durissus ruruima","","Crotalus durissus ruruima","subspecies","","Animalia","Chordata","Reptilia","Squamata","Viperidae","Crotalus","Crotalus durissus","FMT-HVD","ANIME","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado - nascida em cativeiro","-3.086359","-60.35093","","-3.086359","-60.35093","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M. E. Oliveira","true","false","false","false","true","false","true","true","true","false"
"6f4bdd7c-4ce7-4e3a-8334-f386a7b66c72","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_23","246558","Micrurus lemniscatus","","Micrurus lemniscatus","species","","Animalia","Chordata","Reptilia","Squamata","Elapidae","Micrurus","Micrurus lemniscatus","FMT-HVD","ANIME","AM 010 km 19 Sítio Santa Maria","-1.641967","-60.85230","","-1.641967","-60.8523","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","Nascimento; Oliveira","true","false","false","false","true","false","true","true","true","false"
"6d56599e-5f45-4365-95a8-050ba14c5562","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_16","152294","Bothrops atrox","","Bothrops atrox","species","","Animalia","Chordata","Reptilia","Squamata","Viperidae","Bothrops","Bothrops atrox","FMT-HVD","ANIME","","-3.767626","-49.70734","","-3.767626","-49.70734","","Brasil","Para","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","A.M. Picelli","true","false","false","false","true","false","true","true","true","false"
"6d1993a2-8e3a-4645-9507-13c14dc18271","dr971","Coleção ANIME da Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","in174","Fundação de Medicina Tropical Doutor Heitor Vieira Dourado","co530","Coleção de animais de interesse médico","CC-BY-NC 4.0 (Int)","ANIME_114","152294","Bothrops atrox","","Bothrops atrox","species","","Animalia","Chordata","Reptilia","Squamata","Viperidae","Bothrops","Bothrops atrox","FMT-HVD","ANIME","UHE Balbina","-1.916804","-59.75789","","-1.916804","-59.75789","","Brasil","Amazonas","","","","","","","","PreservedSpecimen","preservedSpecimen","present","","true","true","","Brasil","M.E. Oliveira","true","false","false","false","true","false","true","true","true","false"
